Name,Age,Email,City,Salary,Department
Alice  , 40,charlie@@mail.com,Berlin,42000 ,HR
Eve ,40,  grace@mail.com,  LONDON , 50000,HR
  Sr,50,alice@example.com,London, 50000,hr
Grace,35,,Paris,35000,Engineering
Daisy Sr,45,test@,london,60000,Engineering
Eve  ,50,test@,,50000,eng
Frank  ,thirty,eveexample.com,london,60000,Finance
Grace Sr,40,bob@example,london,,
Frank Sr,45,,london,fifty thousand,Engineering
Frank,unknown,frank@example.com,London,fifty thousand,HR
Bob ,50,alice@example.com,London,fifty thousand,hr
Daisy Jr,thirty,  grace@mail.com,  LONDON ,fifty thousand,hr
Frank Sr,45,charlie@@mail.com,London,42000 ,Engineering
Henry Jr,45,test@,London,42000,hr
Daisy,40,alice@example.com,Paris,fifty thousand,hr
 ,unknown,henry@mail.com,Paris,60000,
Daisy ,,bob@example,  LONDON ,50000,HR
Henry ,thirty,bob@example,,42000,Finance
Grace ,25,henry@mail.com,london,50000,finance
Henry  ,thirty,  grace@mail.com,Paris,60000,hr
Daisy Sr,45,test@,,fifty thousand,eng
Eve ,35,invalid@,,fifty thousand,
Bob,50,bob@example,New York,35000,eng
  ,thirty,frank@example.com,,,
Bob  ,40,charlie@@mail.com,New York,,Finance
Charlie  ,50,henry@mail.com,London,60000,hr
Daisy,35,test@,New York,35000,
Bob ,30,alice@example.com,,,
Henry,,,Berlin,fifty thousand,HR
  ,50,invalid@,New York,fifty thousand,HR
Frank ,45,  grace@mail.com,Paris,50000,finance
Daisy ,30,frank@example.com,London,,Finance
Henry Sr,30,eveexample.com,Berlin,35000,HR
Henry,35,eveexample.com,,60000,eng
Henry,thirty,charlie@@mail.com,london,60000,finance
  Sr,25,  grace@mail.com,,42000,HR
Eve,,test@,,fifty thousand,eng
Grace Jr,45,frank@example.com,New York,50000,Engineering
Daisy,unknown,bob@example,Berlin,,Engineering
, 40,invalid@,,,Finance
Eve  ,45,,Berlin,60000,finance
Charlie ,thirty,,New York, 50000,HR
 Jr,unknown,bob@example,,60000,Engineering
Alice Sr,25,,, 50000,finance
Frank  ,40,alice@example.com,New York,50000,Engineering
Bob,25,bob@example,Berlin,,Finance
Henry,,bob@example,Berlin,50000,Finance
Frank Jr,45,alice@example.com,,42000 ,Engineering
  Jr,25,,London,50000,HR
Charlie Sr,45,invalid@,London,35000,hr
Grace ,unknown,charlie@@mail.com,  LONDON ,fifty thousand,
, 40,bob@example,,fifty thousand,
Bob Sr,40,eveexample.com,,42000 ,hr
  Jr,,invalid@,Paris,,
Bob,50,eveexample.com,Berlin,42000 ,
Grace ,25,invalid@,, 50000,Finance
Henry,thirty,eveexample.com,london,50000,Engineering
Grace  ,25,henry@mail.com,,fifty thousand,hr
 Sr,thirty,eveexample.com,London,,hr
 Jr,thirty,bob@example,Berlin, 50000,Finance
Charlie,unknown,charlie@@mail.com,london,fifty thousand,Finance
Bob Sr,50,charlie@@mail.com,london,35000,Engineering
Frank Jr,unknown,bob@example,,42000 ,HR
Grace  ,30,eveexample.com,Paris,fifty thousand,
Alice Sr,35,bob@example,New York,42000 ,finance
Charlie  ,50,alice@example.com,London,42000 ,
  Jr,,bob@example,Paris,35000,Engineering
Eve ,45,henry@mail.com,,35000,Engineering
Grace  ,unknown,eveexample.com,New York, 50000,hr
 ,,bob@example,,,HR
Grace Sr,40,bob@example,london,,
  Sr,45,invalid@,,50000,
Frank ,unknown,bob@example,  LONDON ,35000,Engineering
Charlie Sr,25,,,60000,HR
Alice,40,frank@example.com,New York,50000,
Eve Sr,unknown,invalid@,London,42000 ,HR
Grace,unknown,  grace@mail.com,Paris, 50000,
Charlie ,40,alice@example.com,London,35000,finance
Henry Sr,45,alice@example.com,,42000 ,
Charlie Sr,25,alice@example.com,london,60000,eng
